lat lon elevation
16.206328839290077 111.57915228828679 -4.216905
16.205593060672864 111.57907921193122 -2.8310792
16.205567468128162 111.5790766335814 -3.1375146
16.205516289023848 111.57907146291076 -3.4947395
16.20542675820669 111.57906242047522 -2.7795675
16.205426758364087 111.57906242041197 -2.772889
16.20533723337792 111.57905314531023 -2.697762
16.205292465684828 111.57904849329036 -2.8262467
16.20515817944326 111.57903447642954 -2.5561059
16.205145396623735 111.57903313540182 -2.2786188
16.205087832519208 111.57902710799232 -2.565325
16.205055861349997 111.57902375118866 -2.3185687
16.205036676109785 111.5790217371571 -2.3067195
16.204998304019032 111.57901770579927 -2.2409153
16.204979124217388 111.57901568721627 -2.0080712
16.204959931573633 111.57901367248829 -2.2684176
16.204908758275575 111.57900829217752 -2.4920652
16.204697585551855 111.578986102586 -5.9887624
16.204345725525084 111.57894914967564 -3.1752846
16.204320128373205 111.57894647723914 -3.1479576
16.204320121602027 111.57894647944616 -3.3917375
16.204307321230786 111.57894514351183 -3.3411252
16.204300927805495 111.57894447426368 -3.1302369
16.204179333407136 111.57893175493244 -3.3612914
16.203935985009803 111.57890687867885 -2.801938
16.203564471302684 111.57886933756436 -5.36217
16.203487642674496 111.57886160387932 -4.8961787
16.20243882479495 111.57875581093558 -0.6834733
16.202426039913043 111.5787545122221 -1.0258605
16.20241327093512 111.57875320730454 -0.74141604
16.202387723867755 111.57875060020926 -0.5778814
16.202355781498863 111.5787473419195 -0.6765131
16.202355785498792 111.57874734031138 -0.5067798
16.202330235127633 111.5787447308684 -0.46381113
16.202317456646362 111.5787434274777 -0.63100404
16.20230468498425 111.57874212054521 -0.47368237
16.2022919151 111.57874081209452 -0.20548078
16.202189698552083 111.57873036134369 -1.1237134
16.20217054545714 111.5787283940142 -0.75646317
16.202170544842815 111.57872839426119 -0.78253233
16.202132220710503 111.57872446445323 -0.82108605
16.20201724505217 111.57871265751172 -1.134115
16.201972527467053 111.57870806120691 -1.542952
16.201946970521107 111.57870543353903 -1.8649143
16.201940582324003 111.57870477549494 -1.8589704
16.201883087747053 111.57869885411814 -2.201186
16.201851147327538 111.57869556056603 -2.2839236
16.201831978953745 111.57869358550606 -2.5349622
16.20183198530271 111.57869358295316 -2.265525
16.201812810874525 111.57869160855294 -2.6798005
16.201780852182182 111.57868831738618 -3.4589741
16.20178086175187 111.57868831405176 -3.0964017
16.20176809229118 111.57868699133688 -2.8028355
16.201761696713408 111.57868633517022 -3.194565
16.20171698207641 111.57868171092029 -3.010028
16.20161477382589 111.5786711469463 -2.4926426
16.201557257762925 111.57866517582818 -2.7941809
16.201538092490477 111.57866318232828 -2.6410394
16.20149336098323 111.57865853108176 -2.5253513
16.20148058431086 111.57865720051906 -2.3477755
16.20147419118022 111.57865653682602 -2.4377623
16.20144223758942 111.57865321255696 -2.3299425
16.20133357201621 111.57864191017894 -2.4755373
16.201327175121218 111.57864124668606 -2.6475012
16.201320783604046 111.57864058102062 -2.5908144
16.20131438937594 111.57863991640055 -2.645696
16.20130799500444 111.57863925179427 -2.7031603
16.201250459501907 111.57863326342016 -2.5131776
16.201231276087235 111.57863126844252 -2.5797238
16.2012248846871 111.57863060166575 -2.4237509
16.20121210085319 111.57862926987923 -2.2658696
16.201160939540433 111.57862395009995 -2.425147
16.201103389653756 111.57861796231418 -2.151276
16.2010714160879 111.57861463493494 -1.8573405
16.201058620067815 111.57861330654207 -1.9922123
16.201020245495915 111.57860931570549 -1.7298362
16.201013847608806 111.57860865139452 -1.7624695
16.20096906331844 111.57860400122304 -1.8812525
16.200962656967747 111.57860334025948 -2.2384055
16.200949871412657 111.57860200748824 -1.7944793
16.200943474808568 111.57860134264402 -1.7289517
16.200937080137134 111.57860067702566 -1.5774175
16.200905089458498 111.57859735693148 -1.5761333
16.200898692676322 111.57859669267651 -1.530776
16.20088589473219 111.5785953649874 -1.5330902
16.200873090711884 111.57859403977847 -1.7774062
