ID x y
0 0.0 -28.855415074500712
1 0.10000259837722984 -28.85536487734839
2 0.20000519675445969 -28.85531467517602
3 0.3000077951316895 -28.85526446798345
4 0.40001039350891937 -28.855214255769223
5 0.5000129918861492 -28.855164038533946
6 0.600015590263379 -28.855113816276347
7 0.7000181886406089 -28.855063588996096
8 0.8000207870178387 -28.855013356692957
9 0.9000233853950685 -28.854963119365713
10 1.0000259837722985 -28.85491287701492
11 1.1000285821495284 -28.854862629639317
12 1.200031180526758 -28.854812377238385
13 1.300033778903988 -28.854762119811678
14 1.4000363772812179 -28.85471185735906
15 1.5000389756584476 -28.85466158988015
16 1.6000415740356775 -28.854611317374026
17 1.7000441724129074 -28.854561039840085
18 1.800046770790137 -28.854510757277506
19 1.900049369167367 -28.854460469687375
20 2.000051967544597 -28.854410177067635
21 2.100054565921827 -28.854359879418165
22 2.2000571642990567 -28.85430957673841
23 2.300059762676286 -28.85425926902794
24 2.400062361053516 -28.854208956286676
25 2.500064959430746 -28.854158638513507
26 2.600067557807976 -28.854108315708622
27 2.700070156185206 -28.85405798787027
28 2.8000727545624358 -28.854007654999474
29 2.9000753529396652 -28.853957317094554
30 3.000077951316895 -28.85390697415547
31 3.100080549694125 -28.85385662618217
32 3.200083148071355 -28.853806273173397
33 3.300085746448585 -28.853755915128772
34 3.400088344825815 -28.853705552048282
35 3.5000909432030447 -28.853655183930815
36 3.600093541580274 -28.85360481077633
37 3.700096139957504 -28.853554432584044
38 3.800098738334734 -28.85350404935358
39 3.900101336711964 -28.853453661084377
40 4.000103935089194 -28.853403267775953
41 4.100106533466423 -28.853352869428107
42 4.200109131843654 -28.85330246603983
43 4.300111730220883 -28.85325205761094
44 4.4001143285981135 -28.85320164414051
45 4.500116926975343 -28.85315122562826
46 4.600119525352572 -28.853100802074298
47 4.700122123729803 -28.853050373477515
48 4.800124722107032 -28.852999939837268
49 4.900127320484263 -28.852949501153173
50 5.000129918861492 -28.8528990574252
51 5.100132517238722 -28.852848608652323
52 5.200135115615952 -28.852798154833906
53 5.300137713993181 -28.852747695969782
54 5.400140312370412 -28.852697232059842
55 5.500142910747641 -28.85264676310281
56 5.6001455091248715 -28.852596289099004
57 5.700148107502101 -28.852545810046596
58 5.8001507058793305 -28.8524953259461
59 5.900153304256561 -28.852444836796924
60 6.00015590263379 -28.852394342598323
61 6.100158501011021 -28.852343843350333
62 6.20016109938825 -28.852293339051727
63 6.3001636977654805 -28.852242829702423
64 6.40016629614271 -28.852192315301593
65 6.500168894519939 -28.85214179584928
66 6.60017149289717 -28.8520912713443
67 6.700174091274399 -28.85204074178647
68 6.80017668965163 -28.851990207175405
69 6.900179288028859 -28.85193966751096
70 7.000181886406089 -28.851889122791885
71 7.100184484783319 -28.851838573017407
72 7.200187083160548 -28.851788018188262
73 7.300189681537779 -28.851737458302956
74 7.400192279915008 -28.851686893361293
75 7.5001948782922385 -28.85163632336247
76 7.600197476669468 -28.85158574830672
77 7.7002000750466975 -28.851535168192918
78 7.800202673423928 -28.851484583020806
79 7.900205271801157 -28.851433992789588
80 8.000207870178388 -28.84714334276547
81 8.100210468555618 -28.837490511226356
82 8.200213066932847 -28.827837674488872
83 8.300215665310077 -28.818184832455696
84 8.400218263687307 -28.808531985030854
85 8.500220862064536 -28.798879132117538
86 8.600223460441766 -28.789226273619377
87 8.700226058818997 -28.779573409438868
88 8.800228657196227 -28.769920539481213
89 8.900231255573456 -28.760267663648552
90 9.000233853950686 -28.75061478184508
91 9.100236452327916 -28.740961893973427
92 9.200239050705145 -28.731308999938403
93 9.300241649082375 -28.721656099641923
94 9.400244247459606 -28.712003192988075
95 9.500246845836836 -28.70235027988128
96 9.600249444214064 -28.692697360223463
97 9.700252042591295 -28.683044433919243
98 9.800254640968525 -28.67339150087104
99 9.900257239345754 -28.663738560983656
100 10.000259837722984 -28.65408561415953
101 10.100262436100214 -28.644432660302257
102 10.200265034477445 -28.634779699315267
103 10.300267632854673 -28.62512673110252
104 10.400270231231904 -28.61547375556719
105 10.500272829609134 -28.605820772612716
106 10.600275427986363 -28.596167782142043
107 10.700278026363593 -28.586514784059894
108 10.800280624740823 -28.57686177826896
109 10.900283223118052 -28.579201972606224
110 11.000285821495282 -28.583151128635365
111 11.100288419872513 -28.587100276922023
112 11.200291018249743 -28.59104941750593
113 11.300293616626972 -28.594998550426098
114 11.400296215004202 -28.598947675722922
115 11.500298813381432 -28.602896793434873
116 11.600301411758661 -28.60684590360222
117 11.700304010135891 -28.610795006263864
118 11.800306608513122 -28.614744101459838
119 11.900309206890352 -28.61869318922928
120 12.00031180526758 -28.6226422696114
121 12.100314403644811 -28.626591342646737
122 12.200317002022041 -28.630540408374202
123 12.30031960039927 -28.634489466832807
124 12.4003221987765 -28.638438518062188
125 12.50032479715373 -28.6423875621024
126 12.600327395530961 -28.64633659899305
127 12.70032999390819 -28.650285628772632
128 12.80033259228542 -28.654234651481463
129 12.90033519066265 -28.658183667158575
130 13.000337789039879 -28.662132675843583
131 13.10034038741711 -28.666081677576425
132 13.20034298579434 -28.670030672395782
133 13.30034558417157 -28.67397966034231
134 13.400348182548798 -28.67792864145442
135 13.500350780926029 -28.681877615772116
136 13.60035337930326 -28.685826583334332
137 13.700355977680488 -28.68977554418151
138 13.800358576057718 -28.69372449835186
139 13.900361174434948 -28.69767344588675
140 14.000363772812179 -28.701622386823576
141 14.100366371189407 -28.705571321203127
142 14.200368969566638 -28.70952024906492
143 14.300371567943868 -28.713469170447347
144 14.400374166321097 -28.717418085391177
145 14.500376764698327 -28.72136699393515
